Actor,ActorID,Year,Film,Votes,Rating,FilmID
Patrick Warburton,nm0911320,2020,Inheritance,9463,5.5,tt7923220
Paul Ben-Victor,nm0070115,2020,The BankerBlood and MoneyMy Brothers' Crossing,22092,16.0,tt6285944tt9248110tt10719628
Paul Bettany,nm0079273,2020,Uncle Frank,14190,7.3,tt11327514
Paul Dooley,nm0233209,2020,Selfie Dad,169,3.6,tt6559576
Paul Hogan,nm0001357,2020,The Very Excellent Mr. Dundee,1091,4.9,tt8560172
Paul Reiser,nm0001663,2020,Horse Girl,15027,5.9,tt11388406
Paul Scheer,nm1179677,2020,ArchenemyEmperor,2554,10.6,tt11274100tt8354752
Paul Schneider,nm0773973,2020,Brothers by Blood,755,4.9,tt8368294
Paul Sparks,nm0817027,2020,The Lovebirds,21770,6.1,tt8851668
Paul Telfer,nm1533208,2020,Green RushStar Trek First Frontier,394,9.5,tt8170358tt9753990
Paul Walter Hauser,nm3236159,2020,Da 5 BloodsSongbirdAdam,49026,17.5,tt9777644tt12592252tt1715344
Paula Abdul,nm0000716,2020,Impractical Jokers: The Movie,5094,5.9,tt9208444
Paula Beer,nm3559009,2020,Undine,3436,6.5,tt11617052
Paula Patton,nm1745736,2020,Four Kids and It,1054,5.1,tt5556054
Pauly Shore,nm0001736,2020,Guest House,1515,4.4,tt10054316
Pedro Pascal,nm0050959,2020,Wonder Woman 1984We Can Be Heroes,196480,10.100000000000001,tt7126948tt10600398
Penelope Ann Miller,nm0000542,2020,Adverse,3018,4.6,tt8597594
Penelope Mitchell,nm3241414,2020,Becoming,939,4.7,tt2573372
Penelope Wilton,nm0934362,2020,Summerland,3691,7.0,tt6841122
Peta Sergeant,nm1560632,2020,Heavenquest: A Pilgrim's Progress,212,3.4,tt5167200
Pete Davidson,nm0203457,2020,The King of Staten Island,42901,7.1,tt9686708
Peter Davison,nm0205749,2020,Dream Horse,158,6.0,tt9883996
Peter Dinklage,nm0227759,2020,I Care a LotThe Croods: A New Age,103634,13.3,tt9893250tt2850386
Peter Facinelli,nm0004906,2020,The VanishedThe F**k-It List,11986,10.8,tt9794630tt8145202
Peter Franzen,nm0291918,2020,Meander,140,6.5,tt5752192
Peter Gallagher,nm0001251,2020,Palm Springs,93872,7.4,tt9484998
Peter Greene,nm0338886,2020,Tesla,6621,5.0,tt5259822
Peter Mullan,nm0611932,2020,Marionette,1174,5.9,tt8237272
Peter Outerbridge,nm0653660,2020,The Oak Room,290,5.4,tt10743534
Peter Scolari,nm0778642,2020,Looks That Kill,2240,6.3,tt8179470
Peter Stormare,nm0001780,2020,Songbird,5646,4.6,tt12592252
Peter Vack,nm0114430,2020,PVT CHAT,409,5.5,tt8110004
Peyton Kennedy,nm4922528,2020,What the Night Can Do,150,4.4,tt5792124
Peyton List,nm2572554,2020,Hubie HalloweenValley GirlSwimming for Gold,42746,16.2,tt10682266tt1266036tt10782876
Phil Davis,nm0205289,2020,Knuckledust,161,5.0,tt9109072
Philip Winchester,nm0934618,2020,Rogue,5853,3.9,tt11576124
Philippine Leroy-Beaulieu,nm0503800,2020,De GaullePapi Sitter,1105,11.0,tt10880402tt10746876
Phillipa Soo,nm5623883,2020,HamiltonOver the MoonThe One and Only IvanThe Broken Hearts Gallery,89408,27.7,tt8503618tt7488208tt3661394tt2140571
Phylicia Rashad,nm0711118,2020,SoulJingle Jangle: A Christmas JourneyA Fall from GraceBlack Box,253417,26.7,tt2948372tt7736496tt11390036tt12298506
Phyllida Law,nm0492373,2020,Then Came You,1077,6.2,tt8367084
Phyllis Logan,nm0517642,2020,Misbehaviour,5790,6.2,tt9148706
Pierce Brosnan,nm0000112,2020,Eurovision Song Contest: The Story of Fire Saga,76243,6.5,tt8580274
Pierce Gagnon,nm3163952,2020,Scoob!,20220,5.7,tt3152592
Pierfrancesco Favino,nm0269419,2020,The Best YearsHammametPadrenostroTutti per 1 - 1 per tutti,3495,22.7,tt9392248tt8615136tt10798072tt11894498
Piper Perabo,nm0005305,2020,Spontaneous,5191,6.5,tt5774062
Pippa Haywood,nm0371846,2020,SupernovaFour Kids and It,3842,11.8,tt11169050tt5556054
Polly Draper,nm0237164,2020,Shiva Baby,1208,7.2,tt11317142
Pollyanna McIntosh,nm1717573,2020,Revenge Ride,258,3.7,tt10510416
Poppy Delevingne,nm3518672,2020,Spy Intervention,836,3.9,tt7369550
Portia Doubleday,nm0234668,2020,Fantasy Island,38605,4.9,tt0983946
Post Malone,nm7970428,2020,Spenser Confidential,72796,6.2,tt8629748
Priyanka Chopra,nm1231899,2020,We Can Be Heroes,10953,4.7,tt10600398
RJ Mitte,nm2666409,2020,The Oak Room,290,5.4,tt10743534
RZA,nm0753526,2020,Life in a Year,4606,5.8,tt6598238
Rachael Carpani,nm0139257,2020,The Way BackThe Very Excellent Mr. Dundee,35485,11.600000000000001,tt8544498tt8560172
Rachael Leigh Cook,nm0000337,2020,"Love, Guaranteed",14183,5.5,tt11100856
Rachel Blanchard,nm0004761,2020,Getting to Know You,125,5.8,tt8925546
Rachel Bloom,nm3417385,2020,Trolls World Tour,17584,6.1,tt6587640
Rachel Brosnahan,nm3014031,2020,I'm Your WomanThe Courier,8115,13.5,tt10243992tt8368512
Rachel House,nm1344302,2020,SoulPenguin BloomBaby DoneEllie & Abbie (& Ellie's Dead Aunt),221421,26.599999999999998,tt2948372tt6317656tt9894660tt10353866
Rachel McAdams,nm1046097,2020,Eurovision Song Contest: The Story of Fire Saga,76243,6.5,tt8580274
Rachel Nichols,nm0629697,2020,Breach,4866,3.0,tt9820556
Rachel Sennott,nm6976735,2020,Shiva Baby,1208,7.2,tt11317142
Rachel Ticotin,nm0001797,2020,Superintelligence,6078,5.4,tt7178640
Rachel Wilson,nm0933987,2020,Come Play,8320,5.7,tt8004664
Rachele Brooke Smith,nm2855957,2020,In Other WordsThe Last Exorcist,766,9.0,tt9104196tt7311330
Radha Mitchell,nm0593664,2020,Run Hide FightDreamkatcher2 Hearts,16854,15.8,tt11456054tt10553210tt5616176
Rafi Gavron,nm1969169,2020,Books of Blood,4771,5.6,tt11242218
Rainn Wilson,nm0933988,2020,Don't Tell a Soul,2147,5.8,tt8046498
Rajisha Vijayan,nm8135195,2020,Love,781,7.1,tt12573294
Rajkummar Rao,nm3822770,2020,LudoChhalaangShimla Mirchi,46061,18.5,tt7212754tt8983164tt4486148
Ralf Moeller,nm0005241,2020,Breach,4866,3.0,tt9820556
Ralph Fiennes,nm0000146,2020,Dolittle,50409,5.6,tt6673612
Ralph Ineson,nm0408591,2020,DolittleBrahms: The Boy IIHere Are the Young Men,63251,16.5,tt6673612tt9173418tt5598868
Rami Malek,nm1785339,2020,Dolittle,50409,5.6,tt6673612
Ramon Rodriguez,nm1913125,2020,The One and Only Ivan,9201,6.6,tt3661394
Ramona Young,nm5021372,2020,Unpregnant,4998,6.3,tt10556022
Randall Park,nm1320827,2020,Valley Girl,2500,5.4,tt1266036
Rashida Jones,nm0429069,2020,On the Rocks,24030,6.5,tt9606374
Raul Castillo,nm1950004,2020,Little Fish,1383,6.9,tt9735470
Raven-Symone,nm0712368,2020,Mighty Oak,279,4.9,tt8385384
Ray Liotta,nm0000501,2020,Hubie Halloween,39958,5.2,tt10682266
Ray McKinnon,nm0571964,2020,News of the World,54032,6.8,tt6878306
Ray Nicholson,nm2200658,2020,Promising Young Woman,61956,7.5,tt9620292
Ray Wise,nm0936403,2020,Beast Mode,215,3.7,tt2323912
Raymond Ablack,nm2917725,2020,The Broken Hearts Gallery,4364,6.2,tt2140571
Raymond Cruz,nm0190441,2020,Wander,3157,4.9,tt9689696
Raza Jaffrey,nm1203005,2020,The Rhythm Section,13458,5.3,tt7134096
Rebecca Front,nm0296410,2020,Marionette,1174,5.9,tt8237272
Rebecca Hall,nm0356017,2020,The Night House,200,6.5,tt9731534
Rebecca Holden,nm0390258,2020,Canaan Land,425,7.6,tt5585836
Reed Diamond,nm0224703,2020,Pearl,132,4.6,tt12325668
Rege-Jean Page,nm2074546,2020,Sylvie's Love,4470,6.8,tt9827834
Reginald VelJohnson,nm0001817,2020,The Very Excellent Mr. Dundee,1091,4.9,tt8560172
Renee Elise Goldsberry,nm0325989,2020,Hamilton,61228,8.5,tt8503618
Rhea Perlman,nm0674231,2020,Funny Face,264,5.8,tt11638942
Rhoda Griffis,nm0341421,2020,The BankerSafetyThe 24th,24140,19.9,tt6285944tt10649016tt10452854
Rhona Mitra,nm0593961,2020,ArchiveSkylines,17932,11.0,tt6882604tt9387250
Rhys Darby,nm1055302,2020,100% Wolf,902,5.7,tt8774798
Rhys Ifans,nm0406975,2020,MisbehaviourLast Call,5965,13.3,tt9148706tt3300874
Ricardo Hurtado,nm7221817,2020,Malibu Rescue: The Next Wave,591,4.7,tt11032990
Riccardo Scamarcio,nm1249052,2020,The BindingThe Players,4085,9.2,tt10914452tt10168672
Richard Armitage,nm0035514,2020,Uncle Vanya,157,8.1,tt13299678
Richard Ayoade,nm1547964,2020,Soul,215191,8.1,tt2948372
Richard Brake,nm0104114,2020,The Rhythm SectionArthur & Merlin: Knights of Camelot,14403,8.7,tt7134096tt7052270
Richard Burgi,nm0121404,2020,The 2nd,4288,3.8,tt11697484
Richard Dillane,nm0226819,2020,The Show,204,6.9,tt9165824
Richard Grieco,nm0001298,2020,Attack of the Unknown,1308,3.7,tt8804580
Richard Harmon,nm2113653,2020,Darkness Falls,845,4.5,tt6647564
Richard Jenkins,nm0420955,2020,KajillionaireThe Last Shift,10709,12.1,tt8143990tt10661180
Richard Kind,nm0454236,2020,Rifkin's FestivalThe Stand InElla Bella Bingo,2819,15.3,tt8593904tt7970348tt9537888
Richard Kline,nm0459658,2020,"Love, Weddings & Other Disasters",781,5.1,tt10235718
Richard Masur,nm0557956,2020,Before/During/After,253,4.9,tt6393674
Richard O'Brien,nm0639782,2020,Phineas and Ferb the Movie: Candace Against the Universe,3094,7.2,tt1817232
Richard Riehle,nm0726223,2020,Faith Based,341,4.9,tt10260692
Richard Roundtree,nm0745780,2020,Haunting of the Mary Celeste,391,3.2,tt13192570
Richard Roxburgh,nm0746896,2020,Go Karts,2248,5.9,tt8116640
Richard Steven Horvitz,nm0395777,2020,The SpongeBob Movie: Sponge on the Run,12272,6.0,tt4823776
Richard Tyson,nm0879186,2020,Cry Havoc,174,3.2,tt12158538
Rick Yune,nm0950935,2020,Jiu Jitsu,5320,2.9,tt9624766
Ricky Gervais,nm0315041,2020,The Willoughbys,13833,6.4,tt5206260
Riki Lindhome,nm1641251,2020,The Wolf of Snow HollowHave a Good Trip,17960,13.0,tt11140488tt12133722
Riley Keough,nm2142336,2020,The Devil All the TimeZola,99413,13.0,tt7395114tt5439812
Risteard Cooper,nm0178335,2020,The Racer,572,5.8,tt8374436
Rita Tushingham,nm0878240,2020,The Owners,5177,4.9,tt9806370
Riz Ahmed,nm1981893,2020,Mogul Mowgli,1256,6.7,tt9892094
Rob Brydon,nm0117339,2020,The Trip to Greece,3055,6.6,tt10482504
Rob Corddry,nm1117791,2020,Bad Therapy,596,4.3,tt8488518
Rob Estes,nm0004900,2020,After We Collided,20250,5.0,tt10362466
Rob Huebel,nm1097364,2020,SpontaneousValley Girl,7691,11.9,tt5774062tt1266036
Rob Morgan,nm1726032,2020,GreyhoundThe PhotographCut Throat City,78659,17.9,tt6048922tt7798646tt3547306
Rob Riggle,nm1443527,2020,The War with Grandpa,13282,5.6,tt4532038
Rob Schneider,nm0001705,2020,Hubie HalloweenThe Wrong Missy,73260,10.9,tt10682266tt9619798
Robbie Amell,nm2064412,2020,The Babysitter: Killer QueenDesperados,36980,11.0,tt11024272tt1545304
Robert Aramayo,nm7075019,2020,AntebellumThe Empty Man,25446,11.600000000000001,tt10065694tt5867314
Robert Carradine,nm0001019,2020,Human Zoo,312,2.1,tt5575918
Robert Costanzo,nm0182456,2020,Beast Mode,215,3.7,tt2323912
Robert Davi,nm0001108,2020,Unbelievable!!!!!Pistolera,961,7.3,tt2180583tt9037864
Robert De Niro,nm0000134,2020,The War with GrandpaThe Comeback Trail,13913,11.3,tt4532038tt5420210
Robert Downey Jr.,nm0000375,2020,Dolittle,50409,5.6,tt6673612
Robert Forster,nm0001233,2020,The Wolf of Snow Hollow,11604,6.2,tt11140488
Robert Glenister,nm0322563,2020,Villain,1418,5.8,tt9820352
Robert LaSardo,nm0489436,2020,Attack of the UnknownSky Sharks,2016,7.6,tt8804580tt3977848
Robert Maillet,nm0537631,2020,BeckyVicious Fun,12103,12.2,tt10314450tt11778118
Robert Patrick,nm0001598,2020,Honest ThiefA Place Among the Dead,29768,11.9,tt1838556tt13060796
Robert Pattinson,nm1500155,2020,TenetThe Devil All the Time,422174,14.6,tt6723592tt7395114
Robert Picardo,nm0000585,2020,Unbelievable!!!!!,753,5.3,tt2180583
Robert Ri'chard,nm0722647,2020,Alone,1768,4.8,tt10192566
Robin Atkin Downes,nm0235960,2020,Mortal Kombat Legends: Scorpion's Revenge,11365,7.4,tt9580138
Robin Tunney,nm0000677,2020,Horse Girl,15027,5.9,tt11388406
Robin Wright,nm0000705,2020,Wonder Woman 1984,185527,5.4,tt7126948
Rochelle Aytes,nm1468674,2020,Magic Camp,3390,6.3,tt3979300
Rodrigo Santoro,nm0763928,2020,Project PowerLast Call,72716,13.1,tt7550000tt3300874
Roger Allam,nm0019885,2020,Uncle VanyaSay Your Prayers,263,13.2,tt13299678tt4229826
Roger Craig Smith,nm1886746,2020,"Bigfoot FamilyHappy Halloween, Scooby-Doo!",2665,12.1,tt9204164tt12838958
Roland Moller,nm3435612,2020,Riders of Justice,2917,8.0,tt11655202
Rolf Lassgard,nm0489858,2020,Min pappa Marianne,1025,7.0,tt9894440
Romola Garai,nm0304801,2020,The Windermere ChildrenMiss MarxLast Call,2956,19.9,tt10370380tt11009666tt3300874
Ron Funches,nm3236733,2020,Trolls World TourThe One and Only IvanHave a Good TripSylvie's Love,37611,26.299999999999997,tt6587640tt3661394tt12133722tt9827834
Ron Livingston,nm0515296,2020,Holly Slept Over,1206,5.5,tt7453044
Ron Perlman,nm0000579,2020,Monster HunterThe Big UglyCloverA Place Among the Dead,31951,20.4,tt6475714tt9441638tt7801350tt13060796
Ron Rifkin,nm0726492,2020,Minyan,237,6.8,tt10268550
Ronen Rubinstein,nm4230210,2020,No EscapeSmiley Face Killers,7920,9.0,tt8160834tt12757438
Rosalind Chao,nm0001034,2020,MulanMagic Camp,120317,11.899999999999999,tt4566758tt3979300
Rosamund Pike,nm0683253,2020,I Care a Lot,81620,6.3,tt9893250
Rose Byrne,nm0126284,2020,IrresistibleLike a Boss,23347,10.899999999999999,tt9076562tt7545266
Rose McIver,nm0570860,2020,The Princess Switch: Switched Again,7866,5.3,tt11199410
Rosie Day,nm1133857,2020,BabyIndigo Valley,325,8.9,tt9760852tt6788806
Rosie Perez,nm0001609,2020,Birds of PreyThe Last Thing He Wanted,190709,10.399999999999999,tt7713068tt7456312
Ross Butler,nm5224900,2020,To All the Boys: P.S. I Still Love You,29743,6.0,tt9354842
Ross McCall,nm0564680,2020,The Good Traitor,472,6.4,tt10375972
Rossif Sutherland,nm1160472,2020,Possessor,20756,6.5,tt5918982
Rossy de Palma,nm0658041,2020,Mermaid in Paris,431,5.5,tt9209312
Ruby Bentall,nm2182161,2020,Misbehaviour,5790,6.2,tt9148706
Ruby O. Fee,nm3382410,2020,Asphalt BurningLindenberg! Mach dein Ding,2204,11.399999999999999,tt6527456tt9181732
Ruby Rose,nm3199307,2020,The DoormanMonster Zone,4186,9.9,tt6222118tt8524650
Rufus Sewell,nm0001722,2020,The Father,18828,8.3,tt10272386
Rupert Evans,nm1140344,2020,The Doorman,3547,4.5,tt6222118
Rupert Graves,nm0001291,2020,Emma.,34941,6.7,tt9214832
Rupert Penry-Jones,nm0672303,2020,Miss Fisher & the Crypt of TearsLove SarahGetting to Know You,4540,18.1,tt9010738tt9448932tt8925546
Rupert Vansittart,nm0889338,2020,Misbehaviour,5790,6.2,tt9148706
Russell Brand,nm1258970,2020,Four Kids and It,1054,5.1,tt5556054
Russell Crowe,nm0000128,2020,Unhinged,40942,6.0,tt10059518
Rutger Hauer,nm0000442,2020,Break,157,4.6,tt4590390
Ruth Negga,nm1550948,2020,Angela's Christmas Wish,1021,7.1,tt13260836
Ryan Buggle,nm6842346,2020,Lazy Susan,639,5.2,tt8633560
Ryan Corr,nm1507708,2020,High Ground,1026,6.4,tt9286908
Ryan Eggold,nm2375297,2020,Never Rarely Sometimes Always,17086,7.4,tt7772582
Ryan Hansen,nm1218621,2020,Fantasy IslandLike a BossFriendsgiving,50951,13.9,tt0983946tt7545266tt8431078
Ryan Kwanten,nm0477127,2020,2067,5509,4.8,tt1918734
Ryan Merriman,nm0581365,2020,Robot Riot,229,3.2,tt12416066
Ryan Michelle Bathe,nm1313656,2020,Sylvie's Love,4470,6.8,tt9827834
Ryan Phillippe,nm0000202,2020,The 2ndBrothers by Blood,5043,8.7,tt11697484tt8368294
Ryan Reynolds,nm0005351,2020,The Croods: A New Age,22014,7.0,tt2850386
Ryan Robbins,nm0730455,2020,Coffee & Kareem,11989,5.1,tt9898858
Ryan Watson,nm0914870,2020,Wonder Woman 1984Birds of Prey,363186,11.5,tt7126948tt7713068
Ryan Zheng,nm4404779,2020,The Eight Hundred,2845,7.0,tt7294150
Sabrina Carpenter,nm4248775,2020,Work ItClouds,16433,13.6,tt10276470tt6473066
Sacha Baron Cohen,nm0056187,2020,The Trial of the Chicago 7Borat Subsequent Moviefilm,239257,14.5,tt1070874tt13143964
Sadie Frost,nm0001244,2020,Waiting for Anya,976,5.9,tt7095476
Sadie Stanley,nm9642493,2020,The Sleepover,8243,5.6,tt10888708
Said Taghmaoui,nm0846548,2020,Wonder Woman 1984Embattled,186483,12.0,tt7126948tt6539992
Sakina Jaffrey,nm0415529,2020,Soul,215191,8.1,tt2948372
Sallie Harmsen,nm1760156,2020,The Postcard Killings,6998,5.7,tt4106514
Sally Kirkland,nm0000476,2020,Canaan Land,425,7.6,tt5585836
Salma Hayek,nm0000161,2020,Like a BossThe Roads Not Taken,12367,9.8,tt7545266tt9411866
Sam Claflin,nm3510471,2020,Enola HolmesLove Wedding Repeat,150604,12.1,tt7846844tt5096470
Sam Hargrave,nm1092087,2020,Birds of PreyExtraction,341539,12.8,tt7713068tt8936646
Sam Hazeldine,nm1486831,2020,The Intergalactic Adventures of Max CloudMarionette,2625,10.7,tt9472532tt8237272
Sam Heughan,nm1537825,2020,Bloodshot,62953,5.7,tt1634106
Sam J. Jones,nm0429207,2020,Axcellerator,594,4.3,tt6143798
Sam Malone,nm4896770,2020,Project PowerOne of These Days,72689,11.9,tt7550000tt8415728
Sam Neill,nm0000554,2020,Rams,1086,6.4,tt8737608
Sam Page,nm0656335,2020,Secret Society of Second Born Royals,3537,4.8,tt10324122
Sam Palladio,nm4112253,2020,The Princess Switch: Switched Again,7866,5.3,tt11199410
Sam Richardson,nm3931538,2020,Promising Young WomanSuperintelligenceHooking Up,69487,18.4,tt9620292tt7178640tt9815998
Sam Riley,nm0727165,2020,Rebecca,32535,6.0,tt2235695
Sam Rockwell,nm0005377,2020,Trolls World TourThe One and Only Ivan,26785,12.7,tt6587640tt3661394
Sam Troughton,nm0873744,2020,Mank,50094,7.0,tt10618286
Samaire Armstrong,nm1027847,2020,The 2nd,4288,3.8,tt11697484
Samantha Logan,nm3693092,2020,The Empty Man,6948,5.9,tt5867314
Samara Weaving,nm3034977,2020,Bill & Ted Face the MusicThe Babysitter: Killer QueenLast Moment of Clarity100% Wolf,61796,22.8,tt1086064tt11024272tt1929297tt8774798
Samm Levine,nm0505949,2020,Adverse,3018,4.6,tt8597594
Samuel L. Jackson,nm0000168,2020,The Banker,20824,7.3,tt6285944
Samuel West,nm0922335,2020,Gatecrash,131,4.2,tt7358576
Sandra Oh,nm0644897,2020,Over the Moon,14615,6.4,tt7488208
Sanjeev Bhaskar,nm0080276,2020,Dragon Rider,489,5.5,tt7080422
Santiago Cabrera,nm1085051,2020,Godmothered,9613,6.1,tt11681250
Santino Fontana,nm2949014,2020,The Devil All the Time,99133,7.1,tt7395114
Saoirse Ronan,nm1519680,2020,Ammonite,8438,6.5,tt7983894
Sara Serraiocco,nm5077317,2020,Thou Shalt Not Hate,282,5.9,tt8571674
Sara Waisglass,nm2741235,2020,Tainted,280,4.9,tt3952864
Sarah Baker,nm1807222,2020,Superintelligence,6078,5.4,tt7178640
Sarah Burns,nm1901220,2020,Desperados,8870,5.2,tt1545304
Sarah Carter,nm0141931,2020,Pearl,132,4.6,tt12325668
Sarah Chalke,nm0149950,2020,The Wrong Missy,33302,5.7,tt9619798
Sarah Gadon,nm0300589,2020,Vampires vs. the BronxBlack Bear,13757,12.2,tt8976576tt9601220
Sarah Goldberg,nm3057022,2020,The Night House,200,6.5,tt9731534
Sarah Jes Austell,nm5304955,2020,The Stand In,1284,4.5,tt7970348
Sarah Jones,nm1967673,2020,Chemical Hearts,8728,6.3,tt5843876
Sarah Lancaster,nm0484178,2020,Blue Ridge,185,4.5,tt11695190
Sarah Minnich,nm2075924,2020,Unpregnant,4998,6.3,tt10556022
Sarah Paulson,nm0005299,2020,Run,34687,6.7,tt8633478
Sarah Rafferty,nm1423048,2020,Browse,115,3.6,tt5580306
Sarah Roemer,nm2105255,2020,Algorithm: BLISS,819,5.0,tt3212608
Sarah Shahi,nm1083404,2020,Bad Therapy,596,4.3,tt8488518
Sarah Snook,nm3512758,2020,Pieces of a WomanAn American Pickle,49210,12.8,tt11161474tt9059704
Sarah Steele,nm1511685,2020,Viena and the Fantomes,508,4.1,tt3344686
Sarah Sutherland,nm4520905,2020,The Kid DetectiveLike a House on Fire,7208,13.0,tt8980602tt10514240
Sarayu Blue,nm0710605,2020,To All the Boys: P.S. I Still Love YouHappiest Season,57247,12.6,tt9354842tt8522006
Sarita Choudhury,nm0002004,2020,Evil EyeIt Snows in Benidorm,2951,10.4,tt12882620tt9806468
Sasha Alexander,nm0018734,2020,Dangerous LiesDeathstroke Knights & Dragons: The Movie,16479,11.7,tt10183816tt12876132
Sasha Frolova,nm6205739,2020,The Empty Man,6948,5.9,tt5867314
Sasheer Zamata,nm3550886,2020,Spree,5413,5.9,tt11394332
Sawyer Spielberg,nm3245539,2020,Honeydew,303,4.7,tt10734864
Saxon Sharbino,nm3061574,2020,Mile High Escorts,142,5.4,tt11114708
Scott Adkins,nm0012078,2020,Debt CollectorsLegacy of LiesThe Intergalactic Adventures of Max CloudSeizedDead Reckoning,8603,24.5,tt10933680tt6834916tt9472532tt7221772tt4194558
Scott Adsit,nm0012523,2020,10 Things We Should Do Before We Break UpCicada,1070,11.4,tt7939428tt8998768
Scott Glenn,nm0001277,2020,Greenland,73545,6.4,tt7737786
Scott MacArthur,nm2509902,2020,The Babysitter: Killer Queen,28110,5.8,tt11024272
Scott Menville,nm0579914,2020,DolittleThe SpongeBob Movie: Sponge on the Run,62681,11.6,tt6673612tt4823776
Scout Taylor-Compton,nm0174021,2020,Penance LaneGetawayStar Light,1548,12.299999999999999,tt1964995tt6263490tt7445682
Sean Astin,nm0000276,2020,AdverseLEGO DC: Shazam - Magic & Monsters,3752,10.899999999999999,tt8597594tt12093878
Sean Bean,nm0000293,2020,PossessorWolfwalkers,38170,14.6,tt5918982tt5198068
Sean Faris,nm0267511,2020,Algorithm: BLISS,819,5.0,tt3212608
Sean Harris,nm0365317,2020,The Banishing,340,4.5,tt7329642
Sean Hayes,nm0005003,2020,Lazy Susan,639,5.2,tt8633560
Sean O'Bryan,nm0639917,2020,The Stand at Paxton County,839,6.4,tt8362228
Sean Patrick Flanery,nm0001218,2020,Lady DriverHunter's Moon,1415,9.2,tt7562334tt5761986
Sean Pertwee,nm0675730,2020,The Reckoning,1087,4.6,tt9182964
Sean Whalen,nm0923490,2020,An American Pickle,16581,5.7,tt9059704
Sean Young,nm0000707,2020,5th BoroughAxcellerator,1195,10.899999999999999,tt8241876tt6143798
Sebastian De Souza,nm4148205,2020,Pixie,1627,5.8,tt10831086
Sebastian Stan,nm1659221,2020,The Devil All the Time,99133,7.1,tt7395114
Selena Gomez,nm1411125,2020,Dolittle,50409,5.6,tt6673612
Selma Blair,nm0004757,2020,After We Collided,20250,5.0,tt10362466
Senie Priti,nm5492304,2020,Love and Monsters,36075,7.0,tt2222042
Serinda Swan,nm2100657,2020,Revenge Ride,258,3.7,tt10510416
Seth Green,nm0001293,2020,aTypical Wednesday,150,6.0,tt9324808
Seth Rogen,nm0736622,2020,An American Pickle,16581,5.7,tt9059704
Shameik Moore,nm4271336,2020,Cut Throat City,1736,4.9,tt3547306
Shamier Anderson,nm3875456,2020,Son of the South,481,5.4,tt2235372
Shane McRae,nm0574460,2020,Modern Persuasion,131,4.7,tt2165922
Shania Twain,nm0005510,2020,I Still Believe,8868,6.5,tt9779516
Shannon Lucio,nm1594404,2020,Adam,446,6.4,tt1715344
Shaquille O'Neal,nm0641944,2020,Hubie Halloween,39958,5.2,tt10682266
Sharlto Copley,nm1663205,2020,The Last Days of American Crime,9773,3.7,tt1552211
Sharon Horgan,nm1279721,2020,Dating Amber,3776,7.0,tt7886936
Sharon Lawrence,nm0005130,2020,The Lost Husband,3550,6.0,tt4257940
Sharon Leal,nm0495095,2020,Blindfire,403,4.4,tt10103028
Sharon Taylor,nm0853175,2020,Torn: Dark Bullets,388,5.1,tt8386654
Shaun Toub,nm0869467,2020,Ghosts of War,7001,5.5,tt6508228
Shawn Ashmore,nm0039162,2020,Darkness Falls,845,4.5,tt6647564
Shawn Pyfrom,nm0701457,2020,Model Citizen,106,5.4,tt5446820
Shawn Roberts,nm0731575,2020,Tainted,280,4.9,tt3952864
Shea Whigham,nm0924154,2020,Vampires vs. the BronxThe Quarry,9797,10.899999999999999,tt8976576tt10151054
Sheila Vand,nm2611074,2020,The Rental,20011,5.7,tt10003008
Shelby Simmons,nm8684137,2020,StargirlSelfie Dad,4264,9.8,tt4858674tt6559576
Shelby Young,nm1648492,2020,Asphalt Burning,1726,5.1,tt6527456
Shelley Conn,nm0174909,2020,Love Sarah,1344,6.2,tt9448932
Shelley Regner,nm4708985,2020,Adverse,3018,4.6,tt8597594
Sherilyn Fenn,nm0000145,2020,Shooting Heroin,1723,5.4,tt8332454
Sheryl Lee Ralph,nm0005336,2020,The Comeback Trail,631,5.7,tt5420210
Shia LaBeouf,nm0479471,2020,Pieces of a WomanThe Tax Collector,42373,11.899999999999999,tt11161474tt8461224
Shira Haas,nm6024635,2020,Asia,230,6.8,tt10032266
Sian Clifford,nm5427486,2020,The Duke,123,5.7,tt11204094
Sian Phillips,nm0680795,2020,SummerlandDream HorseA Christmas Carol,3962,18.0,tt6841122tt9883996tt9136058
Sidse Babett Knudsen,nm0461746,2020,WildlandLimbo,1042,13.2,tt8386958tt9138170
Sienna Guillory,nm0347149,2020,Son of the South,481,5.4,tt2235372
Sienna Miller,nm1092227,2020,Wander Darkly,776,5.8,tt8902978
Sigourney Weaver,nm0000244,2020,My Salinger Year,998,6.3,tt2222052
Simon Baker,nm0048932,2020,High Ground,1026,6.4,tt9286908
Simon McBurney,nm0564402,2020,Wolfwalkers,17414,8.1,tt5198068
Simon Pegg,nm0670408,2020,Inheritance,9463,5.5,tt7923220
Simone Kirby,nm2034064,2020,Artemis FowlDating Amber,27487,11.2,tt3089630tt7886936
Sisi Stringer,nm10013068,2020,Bloody Hell,2673,6.6,tt9772374
Skylar Astin,nm2799457,2020,Ghosts of WarSecret Society of Second Born Royals,10538,10.3,tt6508228tt10324122
Skyler Gisondo,nm1711114,2020,The Social DilemmaThe Binge,70708,12.8,tt11464826tt10994688
Snoop Dogg,nm0004879,2020,The SpongeBob Movie: Sponge on the RunUnbelievable!!!!!,13025,11.3,tt4823776tt2180583
